fold,pretrained_model,batchsize,optimizer,val_top1_acc,val_top5_acc,test_top1_acc,test_top5_acc
1,yolov8n-cls,4,SGD,0.9498208165168762,1.0,0.9124423861503601,1.0
2,yolov8n-cls,4,SGD,0.9569892287254333,1.0,0.9170507192611694,1.0
3,yolov8n-cls,4,SGD,0.9280575513839722,1.0,0.8940092325210571,1.0
4,yolov8n-cls,4,SGD,0.9820144176483154,1.0,0.9170507192611694,1.0
5,yolov8n-cls,4,SGD,0.9496402740478516,1.0,0.8986175060272217,1.0
6,yolov8n-cls,4,SGD,0.9569892287254333,1.0,0.9124423861503601,1.0
7,yolov8n-cls,4,SGD,0.9641577005386353,1.0,0.9354838728904724,1.0
8,yolov8n-cls,4,SGD,0.9532374143600464,1.0,0.9354838728904724,1.0
9,yolov8n-cls,4,SGD,0.935251772403717,1.0,0.9262672662734985,1.0
10,yolov8n-cls,4,SGD,0.9424460530281067,1.0,0.9170507192611694,1.0
11,yolov8n-cls,4,SGD,0.9534050226211548,1.0,0.9447004795074463,1.0
12,yolov8n-cls,4,SGD,0.9713261723518372,1.0,0.9124423861503601,1.0
13,yolov8n-cls,4,SGD,0.9172661900520325,1.0,0.8894008994102478,1.0
14,yolov8n-cls,4,SGD,0.9532374143600464,1.0,0.9032257795333862,1.0
15,yolov8n-cls,4,SGD,0.9784172773361206,1.0,0.921658992767334,1.0
16,yolov8n-cls,4,SGD,0.9354838728904724,1.0,0.9124423861503601,1.0
17,yolov8n-cls,4,SGD,0.9498208165168762,1.0,0.9262672662734985,1.0
18,yolov8n-cls,4,SGD,0.9676259160041809,1.0,0.9493087530136108,1.0
19,yolov8n-cls,4,SGD,0.9640287756919861,1.0,0.9493087530136108,1.0
20,yolov8n-cls,4,SGD,0.9532374143600464,1.0,0.9078341126441956,1.0
21,yolov8n-cls,4,SGD,0.939068078994751,1.0,0.9262672662734985,1.0
22,yolov8n-cls,4,SGD,0.9498208165168762,1.0,0.9354838728904724,1.0
23,yolov8n-cls,4,SGD,0.935251772403717,1.0,0.8986175060272217,1.0
24,yolov8n-cls,4,SGD,0.9208633303642273,1.0,0.9078341126441956,1.0
25,yolov8n-cls,4,SGD,0.9676259160041809,1.0,0.9170507192611694,1.0
