fold,pretrained_model,batchsize,optimizer,val_top1_acc,val_top5_acc,test_top1_acc,test_top5_acc
1,yolov8n-cls,4,SGD,0.7838827967643738,0.9963369965553284,0.7688888907432556,1.0
2,yolov8n-cls,4,SGD,0.8021978139877319,0.9890109896659851,0.7511110901832581,0.9733333587646484
3,yolov8n-cls,4,SGD,0.7757353186607361,1.0,0.7244444489479065,0.995555579662323
4,yolov8n-cls,4,SGD,0.7867646813392639,0.9889705777168274,0.7733333110809326,0.9911110997200012
5,yolov8n-cls,4,SGD,0.8272058963775635,1.0,0.7555555701255798,0.995555579662323
6,yolov8n-cls,4,SGD,0.8095238208770752,0.9926739931106567,0.800000011920929,0.995555579662323
7,yolov8n-cls,4,SGD,0.8058608174324036,0.9963369965553284,0.7777777910232544,0.9777777791023254
8,yolov8n-cls,4,SGD,0.8198529481887817,0.9889705777168274,0.7911111116409302,0.9822221994400024
9,yolov8n-cls,4,SGD,0.8014705777168274,1.0,0.800000011920929,0.9688888788223267
10,yolov8n-cls,4,SGD,0.8161764740943909,0.9889705777168274,0.804444432258606,0.9822221994400024
11,yolov8n-cls,4,SGD,0.8131868243217468,1.0,0.7155555486679077,0.995555579662323
12,yolov8n-cls,4,SGD,0.8021978139877319,0.9890109896659851,0.7644444704055786,0.9822221994400024
13,yolov8n-cls,4,SGD,0.7867646813392639,0.9889705777168274,0.7733333110809326,0.9822221994400024
14,yolov8n-cls,4,SGD,0.8125,0.9963235259056091,0.7555555701255798,0.9866666793823242
15,yolov8n-cls,4,SGD,0.7977941036224365,0.9926470518112183,0.7555555701255798,0.9822221994400024
16,yolov8n-cls,4,SGD,0.761904776096344,0.9926739931106567,0.7066666483879089,0.9911110997200012
17,yolov8n-cls,4,SGD,0.8388278484344482,1.0,0.7644444704055786,0.995555579662323
18,yolov8n-cls,4,SGD,0.8198529481887817,0.9963235259056091,0.7777777910232544,0.9822221994400024
19,yolov8n-cls,4,SGD,0.7977941036224365,0.9963235259056091,0.7555555701255798,1.0
20,yolov8n-cls,4,SGD,0.8088235259056091,1.0,0.7511110901832581,0.995555579662323
21,yolov8n-cls,4,SGD,0.791208803653717,0.9963369965553284,0.7555555701255798,0.9911110997200012
22,yolov8n-cls,4,SGD,0.7985348105430603,0.9926739931106567,0.7333333492279053,0.9866666793823242
23,yolov8n-cls,4,SGD,0.783088207244873,0.9889705777168274,0.746666669845581,0.9822221994400024
24,yolov8n-cls,4,SGD,0.8088235259056091,0.9926470518112183,0.7288888692855835,0.9911110997200012
25,yolov8n-cls,4,SGD,0.8235294222831726,0.9926470518112183,0.7688888907432556,0.9822221994400024
